genomes	tool	seconds	kb
1	Blastn	1.191	53852
10	Blastn	1.189	77096
100	Blastn	1.946	161008
1000	Blastn	11.035	1124764
10000	Blastn	91.312	10416600
100000	Blastn	866.899	102706564
1000000	Blastn	9900.603	468769088
1	Blastn(ws=15)	1.521	66832
10	Blastn(ws=15)	1.301	65788
100	Blastn(ws=15)	2.388	165756
1000	Blastn(ws=15)	13.015	1130496
10000	Blastn(ws=15)	106.564	10516316
100000	Blastn(ws=15)	1132.495	103671256
1000000	Blastn(ws=15)	12391.110	345994924
1	COBS	16.068	18048
10	COBS	7.436	17776
100	COBS	32.960	28876
1000	COBS	31.712	94516
10000	COBS	89.025	233172
100000	COBS	569.787	1102792
1000000	COBS	2071.559	2823920
1	LexicMap	1.308	656236
10	LexicMap	0.776	1075032
100	LexicMap	1.987	1227472
1000	LexicMap	15.272	1350432
10000	LexicMap	28.963	1627028
100000	LexicMap	101.224	2990540
1000000	LexicMap	1045.366	6466236
1	Minimap2	0.762	23204
10	Minimap2	1.732	196864
100	Minimap2	8.306	1853456
1000	Minimap2	47.912	9934772
10000	Minimap2	563.894	20089992
100000	Minimap2	4501.006	20142604
1000000	Minimap2	67218.873	20152072
1	MMseqs2	9.698	8443180
10	MMseqs2	11.384	8713036
100	MMseqs2	16.401	11196500
1000	MMseqs2	87.396	35323568
10000	MMseqs2	718.171	275199176
100000	MMseqs2	9668.323	390342760
1000000	MMseqs2	116637.523	410382036
1	Ropebwt3	3.021	15618856
10	Ropebwt3	6.944	15679176
100	Ropebwt3	11.233	15961636
1000	Ropebwt3	98.254	17633976
10000	Ropebwt3	222.723	29911432
100000	Ropebwt3	653.385	117970608
1000000	Ropebwt3	4586.309	717489340
