genomes	tool	seconds	kb
1	Blastn	2.281	63116
10	Blastn	1.407	71012
100	Blastn	2.394	156280
1000	Blastn	11.545	1121760
10000	Blastn	126.423	3048132
100000	Blastn	1107.570	99130632
1000000	Blastn	13034.348	211120472
1	Blastn(ws=15)	2.927	66928
10	Blastn(ws=15)	1.195	66060
100	Blastn(ws=15)	2.716	167712
1000	Blastn(ws=15)	11.084	1136688
10000	Blastn(ws=15)	134.157	10511096
100000	Blastn(ws=15)	1180.986	103626116
1000000	Blastn(ws=15)	11765.113	394889960
1	COBS	7.763	17828
10	COBS	5.824	17936
100	COBS	27.054	28640
1000	COBS	44.167	94440
10000	COBS	46.491	229492
100000	COBS	340.148	1102680
1000000	COBS	1751.312	2811160
1	LexicMap	1.310	809372
10	LexicMap	0.996	1102392
100	LexicMap	2.197	1251216
1000	LexicMap	11.964	1461732
10000	LexicMap	43.328	1696716
100000	LexicMap	75.889	3034712
1000000	LexicMap	986.547	7634576
1	Minimap2	0.652	24332
10	Minimap2	1.948	212172
100	Minimap2	8.572	1855032
1000	Minimap2	49.888	9934764
10000	Minimap2	713.672	20090248
100000	Minimap2	3810.835	20143000
1000000	Minimap2	39302.845	20153224
1	MMseqs2	18.911	8445380
10	MMseqs2	15.755	8717444
100	MMseqs2	21.045	11197100
1000	MMseqs2	86.599	35317824
10000	MMseqs2	826.148	275185604
100000	MMseqs2	9617.530	390350204
1000000	MMseqs2	75042.406	410320932
1	Ropebwt3	3.567	15530848
10	Ropebwt3	5.744	15680256
100	Ropebwt3	9.962	15962164
1000	Ropebwt3	91.170	17630352
10000	Ropebwt3	156.334	29912444
100000	Ropebwt3	441.487	117971468
1000000	Ropebwt3	3620.414	717490152
